name,address,website,phone_number,reviews_count,reviews_average,store_shopping,in_store_pickup,store_delivery,place_type,opens_at,introduction,whatsapp_number
Robvans Acessórios Para Vans,"Av. Nossa Sra. dos Remédios, 258 - Remédios, Osasco - SP, 06296-190",robvans.com.br,(11) 4171-3380,,4.6,No,No,No,Fornecedor de peças para carroceria, · Abre seg. às 08:00,None Found,551141713380
Estacionamento e Lava Rápido We Park,"R. Francisco Alves - Vila dos Remedios, Osasco - SP, 06296-160",,(11) 95468-1624,,4.8,No,No,No,Estacionamento,,None Found,5511954681624
AUTOMECANICA,"Av. Brasil, JARDIM - Rochdale, Osasco - SP, 06220-050",,(11) 98957-9355,,4.8,No,No,No,Mecânica para carros, · Abre seg. às 09:00,None Found,5511989579355
DMT Transportes,"R. Orlando Gilardi, 04 - Vila dos Remedios, Osasco - SP, 06298-170",dmttransporte.com.br,(11) 94070-0016,,5.0,No,No,No,Serviço de transporte, · Fecha 18:00,None Found,5511940700016
topazio car service,"rua: topázio, 181 - Jardim Mutinga, Osasco - SP, 06286-240",topaziocarservice.com.br,(11) 99606-2304,,4.8,No,No,No,Oficina mecânica, · Abre seg. às 08:00,None Found,5511996062304
Gallante Auto Mecânica,"Av. Gen. Pedro Pinho, 380 - Pestana, Osasco - SP, 06180-180",,(11) 3682-8875,,4.8,No,No,No,Oficina mecânica,,None Found,551136828875
TAGMA CAR SERVICE,"Av. Analice Sakatauskas, 1135 - Bela Vista, Osasco - SP, 06060-013",tagmaservicepremium.com,(11) 3692-7270,,4.9,No,No,No,Oficina mecânica, · Abre seg. às 07:30,None Found,551136927270
"Shibuta Auto Center | Oficina Mecânica, Injeção Eletrônica, Freios ABS, Air Bag, Troca de Fluido Câmbio Automático em Osasco","R. São Maurício, 349 - Km 18, Osasco - SP, 06110-250",shibuta.com.br,(11) 97319-8030,,4.9,No,No,No,Oficina mecânica, · Abre seg. às 08:00,None Found,5511973198030
JJ Auto Peças de vans e Caminhões,"R. Rosa Cotine, 25 - Remédios, Osasco - SP, 06298-130",,(11) 5664-0972,,1.0,No,No,No,Loja de autopeças, · Abre seg. às 09:00,None Found,551156640972
Oficina Trucks Control - Osasco/SP,"R. Henry Ford, 54 - Pres. Altino, Osasco - SP, 06210-100",tcsat.com.br,(43) 3378-3500,,4.3,No,No,No,Oficina de caminhões, · Abre seg. às 08:00,None Found,554333783500
